Date,Time,Title,Description,Image URL,Video ID
2021-09-27,12:37:24,Slava Marlow – суперуспех и депрессия в 21 год / вДудь,"30 дней бесплатно в Storytel каждому новому пользователю при регистрации по ссылке: https://goo.su/vdud30

Slava Marlow https://www.youtube.com/c/SLAVAMARLOW

Как Слава отвечал на вопрос про 30 лет год назад https://youtu.be/AR6ovvs6Ihg?t=9223

Дудь https://instagram.com/yurydud




0:00 Ровно год назад
1:06 Как дела? 
2:54 Мурино – гетто Петербурга?
5:59 «Меня тошнит от «Ты горишь как огонь»
8:09 К чему тяжело привыкнуть, когда ты очень популярный?  
10:20 Книга, где предсказали будущее 
13:35 Как перестать материться?
16:50 Джунгли из борщевика 
21:29 Слава писал альбом Владу А4 
24:33 Можно ли сочинить новую музыку? 
25:25 Россия vs Запад 
27:18 Выступление на премии «Муз-ТВ». Что это было?.
31:56 «Давай поженимся». Зачем это было?
34:34 $500 000 за новый альбом 
37:25 Депрессия
39:43 Самый страшный момент этой депрессии
44:01 Мама Славы – супер 
50:30 Что еще помогло Славе, кроме врача и лекарств? 
55:29 Фейс и Элджей 
1:00:13 «Первый бит я продал за 500 рублей»
1:03:44 Реклама, от которой Слава отказался
1:05:18 4 машины – зачем Славе столько? 
1:08:28 В клипе «Ты горишь как огонь» снялась Карина Карамбейби. Почему она? 
1:12:58 Слава и Карина встречаются? 
1:15:46 «Я не умею петь»
1:18:30 Каминг-аут 
1:24:33 Славу бесит популярность?  
1:32:13 Как его называют близкие: Артем или Слава? 
1:33:06 Простил ли Слава отца?  
1:37:30 Почему они не общались 6 лет? 
1:41:31 Оказавшись перед Путиным… 
1:43:10 Плейлист Славы 
1:45:20 Кем ты видишь себя в 30? 
1:47:50 «Мне не стыдно быть ребенком»
1:51:51 Шок-контент 
1:54:17 Чего ты боишься?  
1:56:48 Когда тебе последний раз было стыдно? 
1:57:50 В чем сила? 
1:58:35 КОНКУРС
2:00:48 ИТОГИ КОНКУРСОВ",https://i.ytimg.com/vi/AXFmQ4Z9fXg/default.jpg,VVVNQ2dPbThHWmtIcDh6SjZsN19oSXVBLkFYRm1RNFo5Zlhn
2021-09-13,19:39:33,Усачев уехал из России. Почему? / вДудь,"Заказывайте бритвы Philips SkinIQ на Эльдорадо.ru: https://www.eldorado.ru/promo/prm-budvteme/?utm_source=youtube&utm_medium=media&utm_campaign=dudi  
Скидка 15% по промокоду ВДУДЬ15 до 8 октября

Руслан Усачев https://www.youtube.com/channel/UCDaIW2zPRWhzQ9Hj7a0QP1w

Дудь https://t.me/yurydud




0:00 Ты кто? 
4:56 Мы – в Черногории!
6:13 Хорошее из Норильска
7:51 Ловкий трюк, чтобы отучить ребенка от мата
9:40 Исторический подарок
13:19 Кто объехал с Усачевым полмира
14:19 Камикадзе Ди – что с ним произошло? 
19:03 Fight! 
21:34 Как Усачев, Ильич и Мэддисон стали звездами ютуба 
24:50 «Спасибо, Ева!». Усачев понимал, что ему платит власть? 
29:54 В гостях у Дмитрия Медведева
35:52 Зачем блогеры были нужны власти?
44:54 Дорога за $ 1 300 000 000
47:50 Что ты думаешь о Путине?
54:49 Работать с госкомпанией – это ок?
1:00:40 Сколько. Ты. Зарабатываешь 
1:04:02 Еще одна версия про дворец в Геленджике
1:04:58 «Так это же Птушкин на минималках»
1:08:52 Мы – в Казахстане! 
1:13:27 Почему Артемий Лебедев топит за власть? 
1:16:36 «Крым – ошибка Путина»
1:19:56 Шутка про Крым, из-за которой закрывают въезд в Украину 
1:23:42 Пьем молоко верблюда 
1:25:31 Японский мультик про Путина и Кирененко 
1:30:14 Как СССР построил город в пустыне 
1:33:04 Медведев – красавчик?
1:38:03 Что делать, если ютуб закроют? 
1:40:06 В чем сила?",https://i.ytimg.com/vi/JB7E8wuEHjI/default.jpg,VVVNQ2dPbThHWmtIcDh6SjZsN19oSXVBLkpCN0U4d3VFSGpJ
2021-08-23,19:56:36,Loqiemean – другой рэп / вДудь,"Для любой задачи есть профи. Установи приложение и профи будут всегда под рукой:
https://profi-client.onelink.me/3205134365/bb71b292

Если ты профи, то скачивай приложение для специалистов и получай больше клиентов:
https://backoffice-react-app.onelink.me/Isnn/bb068038

Loqiemean https://www.instagram.com/la_loqiemean

https://twitter.com/Loqiemean/status/1234549376741257221


0:00 Что происходит?
1:36 Мы – на краю 500-метровой пропасти 
3:28 Город без интернета и с запрещенным MTV 
6:50 Петр I – красавчик? 
10:04 Вечная проблема России
12:18 Фотография за 260 000 рублей
15:12 Как становились суперзвездами 100 лет назад
16:31 Читаем комментарии сайта The Flow 
19:14 «Злые духи – это не всегда плохо»  
21:36 Москва портит людей 
24:08 Skrillex – легенда   
26:39 Почему рэперы теперь идут в рок?  
30:07 КОНЦЕРТ
31:48 Влияние System of a down – это точно хорошо? 
35:16 Как накачать шею 
36:17 Ты веришь в Бога? 
37:55 Церковь и звон 
39:41 Быть верующим и слушать сатанистов – это окей? 
44:37 Что Локимину не нравится в России? 
47:52 Мы у памятника Сталину
48:54 «Мы живем не по закону, а по понятиям»
51:15 «Батя нации» – это песня про Путина? 
52:47 Как достойно жить в современной России? 
56:48 Что будет с Россией дальше? 
59:41 Хаски или Локимин? 
1:01:07 Кто, если не Путин? 
1:04:38 «Быть дауном». Зачем такое название для песни?
1:09:13 Плагиат 
1:10:47 Новая (и крутая) русская музыка 
1:12:50 Сколько. Ты. Зарабатываешь 
1:19:08 Ларс фон Триер – топ 
1:21:18 Прадед Локимина – педофил 
1:24:58 Про сестру Локимина. Важный разговор о близких 
1:36:55 Дом на ножках
1:38:31 Локимин vs Фейс 
1:40:17 Сибирское воспитание и гопники 
1:44:58 О чем ты мечтаешь?
1:46:29 Dota или CS? 
1:46:54 В чем сила? 
1:47:28 КОНКУРС! (подарок – вау!)",https://i.ytimg.com/vi/6g6Ap9GZUjk/default.jpg,VVVNQ2dPbThHWmtIcDh6SjZsN19oSXVBLjZnNkFwOUdaVWpr
2021-08-01,14:28:16,Гордон – от «Закрытого показа» до «Мужское/Женское» (English subs),"Купить гриль Weber можно по ссылке: https://bit.ly/3ij0kt7

Дудь https://vdudvdud.ru/







0:00 «Хмурое утро» – лучшая программа Гордона 
4:43 Дом, где мы сейчас находимся
8:21 Сереги мучают Дудя 
11:47 «Груз 200» – плохое кино?  
17:24 «Волчок» – плохое кино? 
19:01 Как Гордон попал в «Мужское/Женское»? 
21:08 Гордон постоянно оскорбляет гостей. Почему?
23:50 Душить гостей колготками и называть тварями – это норм? 
25:39 Гордон назвал бы тварью своего начальника?
31:04 «Не горюй!» и «Дети райка» – великие фильмы 
34:32 Каково это – впервые встретить отца в 19 лет?
36:43 Рекламный фильм про ЛДПР. Снять такое – это измазаться в грязи?
43:52 «Я и про Навального сниму корпоративное кино»  
45:48 Владимир Путин успешно управляет Россией? 
49:59 «Страна большая, а народу нет»
59:09 Гордон в курсе, что оппозиция в России разгромлена?
1:02:49 Что важнее: сильная армия или хорошая дорога в провинции? 
1:06:35 Как Гордон относится к преследованию журналистов в России? 
1:09:01 В гостях у Путина 
1:12:06 Почему Путин не должен делать жизнь населения лучше? 
1:15:14 Вы алкоголик?
1:17:04 Как работается пьяным? 
1:19:36 Фейки в выпуске Гордона про Навального
1:23:30 Гордона используют как пропагандиста?
1:25:43 «Нельзя жениться на разведенке с прицепом». ЧТО. ЭТО. БЫЛО
1:31:48 Гордон работает на телике, только чтобы не потерять доход? 
1:34:08 Что-то вроде итога
1:36:30 Смотрите ли вы порно? 
1:37:13 Деньги или честь? 
1:37:19 В чем сила? 
1:37:32 КОНКУРС!",https://i.ytimg.com/vi/wCCvi-LRQrM/default.jpg,VVVNQ2dPbThHWmtIcDh6SjZsN19oSXVBLndDQ3ZpLUxSUXJN
2021-07-12,19:14:41,Орлов – комедия русской хтони / вДудь,"Попробовать новый онлайн-кинотеатр KION: https://clck.ru/VmEuQ

Стендап-комик Сергей Орлов https://www.youtube.com/channel/UCpFTWZY9jyTdcpu7zpXGA_A

Дудь https://vdudvdud.ru/





0:00 Орлов – Юрий Быков от комедии? 
3:09 Летим в Якутию! 
6:32 Реакция на брекеты
10:13 Двухкомнатная квартиру продают за 50 000 рублей. В России! 
10:56 История про великого режиссера 
13:30 Жить три месяца без отопления в минус 40 – как это?  
19:07 Глобальный смысл сельской дискотеки 
23:48 Гуляем по заброшенному кварталу. Жутко
28:44 Стены в подъезде = соцсети 2000-х 
31:39 Минет под запретом 
34:40 «Богатство в России одинаковое, бедность – многогранна» 
38:18 3 самых вкусных места в России 
41:30 Якутия при СССР 
43:48 Родной отец Сереги умер в 22 года. Почему?
48:41 Как правильно разговаривать с подростками
55:38 Сколько. Ты. Заработаешь 
58:46 «Не бойся, страшненьких не насилуют». Как Орлов познакомился с женой 
1:03:22  Такие шутки про личную жизнь - норм?
1:09:23 «Разведенка с прицепом» 
1:13:23 Истории о бесконечных русских дорогах 
1:19:37 «Я понял, что хтонь может быть красивой»  
1:21:17 Играем в металлургический петанк 
1.23:29 Как понять, что у Путина не все схвачено 
1:27:10 Орлов работал кремлеботом. Что?!
1:32:06 Мама и проблемы с алкоголем. Зачем про это шутить? 
1:38:07 Для чего в северных поселках живут люди?
1:43:28 Кормим комаров
1:46:51 Зачем сотрудники ФСБ ходят на стендап? 
1:48:55 Россия будущего. «Мне страшно»
1:53:22 Что такое полярный день? 
1:55:30 У тебя есть мечта? 
1:59:33 Самый смешной русский фильм 
2:02:03 В чем сила? 
2:03:39 КОНКУРС!",https://i.ytimg.com/vi/5PxzExJQOh4/default.jpg,VVVNQ2dPbThHWmtIcDh6SjZsN19oSXVBLjVQeHpFeEpRT2g0
2021-06-18,06:33:40,Гордеева – голос русской боли / вДудь,"Присоединяемся к акции adidas: https://a.did.as/6008y3gS8

Катерина Гордеева https://www.youtube.com/channel/UCpJuziZAwEFnoeNGSaxQlCQ

Дудь https://vdudvdud.ru/


0:14 Великая журналистская работа Гордеевой 
3:36 Катя – фанатка Цветаевой. Как так получилось?
7:19 Очень неожиданная реклама
9:27 Как Цветаева изменила жизнь Гордеевой? 
16:03 Как Леонид Парфенов изменил жизнь Гордеевой? 
20:25 «Сериал «Бригада» я видела из окна»
25:59 Зачем Гордеева пришла в ютуб? 
30:03 Безумная история мужа Цветаевой
38:51 Муж Гордеевой Коля Солодников часто плачет. Это хорошо! 
41:33 Великое фото со свадьбы Кати и Коли 
44:35 Почему Солодникова бомбит от Навального? 
45:48 Надежда Дурова – икона русского феминизма из XIX века
49:33 Аутинг от Пушкина 
51:30 Про русский феминизм 
59:40 Первый ребенок Гордеевой – приемный 
1:06:21 Зачем Гордеева постоянно делает комплименты? 
1:09:30 Комментарий про маленькую грудь, который обидел Гордееву 
1:14:21 Радоваться ТЭФИ в 2019 году – это норм? 
1:19:16 Прапрадед Гордеевой – миллионер, который зарыл в Ницце сундук с деньгами 
1:24:13 Сколько. Ты. Зарабатываешь 
1:26:55 Почему Гордеева живет в Латвии? 
1:31:46 Она – эмигрант? 
1:35:29 Максим Горький – великий русский писатель   
1:38:27 Горький ездил с экскурсией на Соловки, и ему понравилось
1:40:32 Документалист Расторгуев – друг Гордеевой
1:46:39 Россия – страна-мясорубка? 
1:49:07 О чем ты мечтаешь? 
1:50:37 Свободная Россия или счастливая Россия? 
1:53:38 В чем сила? 
1:53:49 КОНКУРС!",https://i.ytimg.com/vi/78b3j2Jk_3A/default.jpg,VVVNQ2dPbThHWmtIcDh6SjZsN19oSXVBLjc4YjNqMkprXzNB
2021-06-03,04:45:57,"Тима Белорусских – приговор, дочь, Беларусь / вДудь","Слушаем аудиокниги всего за 279 рублей в месяц: https://cli.co/vDud-Light

Тима Белорусских https://www.youtube.com/channel/UC2MmSxjVS8QLVqyTl28WCzw

Дудь https://vdudvdud.ru/



0:00 Как дела? 
3:59 Арест 
7:53 Дудь едет на дачу 
10:43 Как силовики вычислили Тиму? 
14:40 Обыски, допросы, спецназ
17:24 Почему Тиму освободили под залог, а друга арестовали? 
20:40 После задержания Тима написал, что это неправда. Зачем он врал? 
23:16 Многие уверены: приговор мягкий в обмен на будущую поддержку власти. Это так? 
30:16 Тима говорил, что не принимает наркотики. Он врал? 
33:15 Почему он ушел с лейбла? 
40:23 Претензии к продюсеру
46:20 Суд с лейблом 
50:28 Кто писал тексты хитов Тимы? 
55:34 «Я приходил в номер после концерта и думал: «Какое же я говно»
1:01:45 Тиме запретили исполнять его песни?  
1:04:30 Сколько. Ты. Зарабатываешь 
1:09:52 Тима когда-нибудь думал, что его арестовали по наводке? 
1:11:15 Теперь все знают, что Тима – отец. Почему только сейчас?
1:13:04 Стать отцом в 16 лет – как это?
1:16:36 Почему он расстался с мамой своей дочери? 
1:20:58 Жить двумя жизнями – как это?
1:25:21 Беларусь или Белоруссия? 
1:25:56 Беларусь-2021
1:28:46 В 2020-м Тима поддержал протесты. Или нет? 
1:31:31 Куда уходят наши налоги 
1:36:17 Зачем Тима выступил на фестивале Лукашенко? 
1:40:35 Корпораты у чиновников – не западло? 
1:43:22 Как ты отреагируешь, если тебя позовут выступить перед Колей Лукашенко?
1:46:42 Какую музыку хочет делать Тима? 
1:49:55 Кем ты видишь себя через год? 
1:51:55 Оказавшись перед Лукашенко, что ты ему скажешь? 
1:54:08 В чем сила? 
1:54:56 КОНКУРС! (фанатам комика Усовича – не нажимать)",https://i.ytimg.com/vi/IE7LDRNwMis/default.jpg,VVVNQ2dPbThHWmtIcDh6SjZsN19oSXVBLklFN0xEUk53TWlz
2021-05-26,09:19:52,Animal Джаz – мировой стрит-арт и русская музыка / вДудь,"Выгодно купить высокоскоростной блендер Moulinex Infiny Mix+ на сайте, в мобильном приложении или в магазинах Эльдорадо: https://clck.ru/V3KEV

Animal Джаz https://www.youtube.com/user/animaljazzify
Zero People https://www.youtube.com/user/zeropeopleband

Дорогие россияне https://www.youtube.com/watch?v=G3HPChutbHw

вДудь https://vdudvdud.ru/



0:00 Мы – в Сан-Паулу. Зачем?
3:08 Что такое любовь?
5:54 Как стрит-арт меняет города и людей  
8:10 Яблочная столица России
11:45 Мы – в Дагестане. Зачем?
14:50 Важное для всех родителей (даже будущих)  
17:47 «Если родители друг друга не любят – надо расходиться»
21:17 Суперзвезда мирового стрит-арта
23:06 Граффити из русского фильма – в Бразилии  
24:46 Почему Михалыч обижен на всех?
29:55 Из стихов про Дагестан тоже сделали граффити
32:33 Главная проблема современной музыки
34:42 Земфира – гений
36:51 Клон Дудя из Дербента
42:25 Лекция Михалыча о Боге
46:54 Экстремальное бразильское искусство
50:15 Отношения с МакSим
55:24 «Знаешь ли ты» – великая песня?
56:21 Депрессия после расставания с МакSим
1:02:54 Русская звезда мирового стрит-арта
1:05:32 Кто спонсирует стрит-арт?
1:07:11 Граффити, которое из России видно душой
1:08:53 Михалычу стыдно за Крым и Донбасс. Почему?
1:10:28 Зачем Animal Джаz исполняет песню «Океан Ельзи»?
1:14:50 Между Россией и Украиной когда-нибудь будет мир?
1:16:06 Из официантов – в звезды стрит-артиста
1:18:12 Почему в России всегда именно такая власть?
1:23:20 Что делать, если с этой властью не согласен?
1:26:05 «Чего ж, я, сука, такой несчастливый?»
1:28:00 «Путин – дитя советских подворотен»
1:33:03 Zero People – для чего Михалычу еще одна группа?
1:38:49 Сколько. Ты. Зарабатываешь  
1:42:18 Кому Михалыч посвятил песню «Три полоски»?
1:47:17 Героиня клипа «Три полоски» – где она сейчас?
1:49:11 Лекция Михалыча о человеке
1:51:38 В чем сила?
1:51:58 КОНКУРС! (если вы музыкант - срочно сюда)",https://i.ytimg.com/vi/gZExnjUcFwA/default.jpg,VVVNQ2dPbThHWmtIcDh6SjZsN19oSXVBLmdaRXhualVjRndB
2021-05-12,09:52:59,Ирина Кайратовна – новые звезды из Казахстана / вДудь,"Для любой задачи есть профи. 
Установи приложение и профи будут всегда под рукой:
https://profi-client.onelink.me/3205134365/fb7126c2
Если ты профи, то скачивай приложение для специалистов и получай больше клиентов:
https://backoffice-react-app.onelink.me/Isnn/2d34fb3c

Ирина Кайратовна https://www.youtube.com/channel/UC52i2gUEbw8G9mWJYQ2lWLw

Все отсылки клипа «5000» https://www.youtube.com/watch?v=r_9VsW2RkM8

наш инстаграм https://www.instagram.com/yurydud/

наш телеграм https://t.me/yurydud

наши шмотки https://vdudvdud.ru/



0:00 Мы – в Алматы!
0:35 Ирина Кайратовна – это кто? 
3:44 «Бората» нужно показывать школьникам». ЧТО?
5:28 Сушим десна 
8:03 Общая проблема Казахстана и России  
10:43 Дудь снова молодой  
14:10 Радиация  
15:40 Поселок, который умер за год 
17:41 «Еще чуть-чуть и это Виктор Цой для Казахстана»
21:25 Гонки сусликов
26:38 «5000» – очень смелый клип 
30:11 В честь кого давали салют в Астане в пик смертности от короны? 
33:28 В Казахстане воруют?  
37:59 Домашнее насилие
43:05 Футбол после 10 литров пива
46:34 Самая вкусная казахская еда 
50:27 Чем казахов удивляет Соловьев 
52:48 Главное политическое убийство Казахстана 
54:50 Цензура 
58:48 Канада – в Каинды 
1:01:00 3 лучших комика 
1:03:06 3 лучших режиссера 
1:07:19 Вирус мамбетизма
1:09:28 Аура Назарбаева 
1:15:30 Ирина Кайратовна – дерзкие. Почему им не страшно? 
1:16:50 Как гастролировать с тремя песнями 
1:23:28 Как власть смотрит на людей в Казахстане и России?   
1:26:45 Сколько. Ты. Зарабатываешь
1:29:28 Выступить на корпорате у госчиновника – это норм? 
1:38:38 Про митинги
1:44:52 Кем ты видишь себя в 40?
1:46:12 В чем сила? 
1:46:34 КОНКУРС
1:48:15 Важные объявления 
1:49:10 Итоги конкурсов",https://i.ytimg.com/vi/skLvb0JCNJk/default.jpg,VVVNQ2dPbThHWmtIcDh6SjZsN19oSXVBLnNrTHZiMEpDTkpr
2021-04-22,10:25:39,Павлов-Андреевич – из телевизора в акционизм (English subs),"Курсы Синхронизации выгоднее с промокодом VDUD.
Погружайтесь в современное искусство со скидкой 40%: https://clck.ru/USBQT
-20% на другие курсы по искусству, культуре и науке: https://clck.ru/US2BM

Федор Павлов Андреевич много лет работал телеведущим (в том числе в «До 16 и старше…») и редактировал важнейший журнал для подростков «Молоток». Теперь он художник, который делает перформансы по всему миру https://www.instagram.com/fyodorpavlovandreevich

Дудь https://vdudvdud.ru/


0:00 Что происходит?
3:04 Возможно, самое милое животное на планете
5:38 Почему мы встречаемся в Бразилии
7:33 Дудь пытается поумнеть (увы)   
10:48 Как из ведущего на ТВ превратиться в художника?
13:25 Пытка фекалиями 
17:59 Джунгли посреди Рио-де-Жанейро 
20:07 Как понять перформанс?
24:03 Костюм с дымящими башнями-близнецами. Что. Это. Был
29:09 Марина Абрамович – легенда современного искусства 
31:50 Митя Фомин в Бразилии? 
33:09 Почему бразильцы так любят секс?
34:54 Почему бразильцы так увлечены религией?
37:51 Как зарабатывают художники? 
42:34 «Смотрю на Навального и думаю: какой красивый и сильный духом человек» 
44:51 Что ты думаешь о Путине?
49:29 Мы – в фавел
51:29 Художники из народа 
57:52 Рекламировать госбанк и быть оппозиционером – норм?
1:02:31 «Остранение» – главное слово современности 
1:05:26 «Культура начинает развиваться, когда ее запрещают»
1:07:19 Художник из автомастерской
1:10:34 Старые друзья и безумные законы
1:12:36 Почему мы все еще не живем в прекрасной России будущего? 
1:16:17 Про русскую душу
1:20:23 Каково весь день висеть на кране?
1:23:23 Расизм в Бразилии
1:26:59 Важный разговор
1:37:35 Почему геев в России так сильно кошмарят?
1:39:01 Мать Тереза-2021
1:42:34 Бразилия и бездомные
1:45:46 Мчим на перформанс! 
1:49:02 Что такое толерантность? 
1:50:35 В чем сила? 
1:51:24 КОНКУРС!",https://i.ytimg.com/vi/602k5_r9ZCs/default.jpg,VVVNQ2dPbThHWmtIcDh6SjZsN19oSXVBLjYwMms1X3I5WkNz
